X,Y,Z
-3.41,-1.06,10.32
-3.33,-1.1,10.36
-3.3,-1.18,10.47
-3.45,-1.06,10.32
-3.37,-1.69,10.4
-3.3,-1.61,10.36
-3.26,-1.53,10.28
-3.02,-1.53,10.28
-2.63,-1.57,10.75
-2.16,-1.88,11.34
-2.82,-2.24,10.36
-3.49,-0.78,10.36
-3.1,-1.26,10.71
-3.14,-1.53,10.24
-3.06,-1.18,9.73
-2.98,-1.8,9.89
-1.49,-2.2,11.3
-4.08,-1.73,9.69
-3.1,-1.26,10.24
-3.33,-1.73,10.12
-2.9,-1.88,10.16
-4.04,-2.47,8.59
-4.12,-1.45,10.87
-2.08,-2.43,11.1
-3.84,-3.26,9.65
-4.12,-1.29,10.16
-3.37,-1.06,10.24
-3.14,-2.0,10.59
-3.3,-1.02,10.12
0.43,-3.96,13.57
-1.18,-2.82,10.12
0.9,-3.73,10.87
-1.1,-0.39,11.14
-1.26,-1.88,11.18
-2.39,-2.55,10.55
-3.26,-1.77,10.0
-4.51,-0.35,10.24
-2.08,-1.8,10.36
-0.55,-2.79,11.49
-4.24,-4.39,9.69
-2.63,-2.67,10.28
-2.9,-1.49,10.32
-2.67,-1.77,10.51
-3.41,-1.77,10.0
-0.86,-1.45,12.08
-2.35,-2.86,11.49
-2.98,-3.61,10.2
-3.02,-1.02,10.2
-3.69,-0.98,10.59
-3.37,-2.2,10.51
-3.3,-2.2,10.32
-2.24,-0.47,11.18
-2.75,-2.55,10.75
-2.86,-3.1,9.89
-1.29,-1.26,10.79
-2.79,-2.47,10.12
-3.22,-1.96,10.24
-3.53,-1.77,9.41
-1.06,-2.0,9.96
-1.84,-2.71,10.79
-2.82,-2.75,10.04
-1.26,-3.88,10.16
-1.73,-1.53,10.2
-3.53,-1.96,10.43
-3.14,-1.41,10.55
-3.18,-1.69,10.08
-0.04,-2.2,11.3
-2.79,-2.35,11.38
-1.69,-2.82,11.14
-2.04,-1.18,10.04
-1.69,-1.06,10.47
-2.79,-1.84,10.55
-3.49,-1.8,10.08
-4.55,-2.67,10.9
-1.29,-2.55,12.2
-4.28,-2.9,9.96
-3.57,-1.53,10.24
-3.49,-1.18,10.36
-3.49,-1.18,10.55
-4.04,0.12,9.22
-1.92,-3.49,10.43
-0.98,-2.71,12.12
-3.53,-3.61,8.98
-0.04,-1.45,12.16
-2.43,-1.69,10.2
-3.3,-2.12,10.16
-2.31,-1.06,10.0
-1.18,-2.75,9.45
0.98,-2.86,11.85
-1.84,-3.02,10.47
-2.39,-0.78,10.24
-2.04,-1.8,10.63
-3.26,-1.8,10.51
-3.84,-0.47,9.06
-3.14,-2.47,10.08
-2.43,-2.82,10.71
-2.47,-3.18,10.83
-2.55,-2.82,10.04
